farmer_id,crop_site_id,village_id,block_id,district_id,state_id,latitude,longitude,CCE_yield,la_median_damdue,la_median_damnotdue,la_median_damtot,med_damnotdue,med_damdue,med_damtot,ins_cat_loss1,ins_cat_loss2,ins_cat_loss3,ins_cat_loss4,numpics,WBI_payout,PBI_payout,jc_damnotdue_orig,jc_damdue_orig,jc_damtot_orig,damnotdue_orig1,damdue_orig1,damtot_orig1,damnotdue_orig2,damdue_orig2,damtot_orig2,damnotdue_orig3,damdue_orig3,damtot_orig3,damnotdue_orig4,damdue_orig4,damtot_orig4,damnotdue_orig5,damdue_orig5,damtot_orig5,damnotdue_orig6,damdue_orig6,damtot_orig6,damnotdue_orig7,damdue_orig7,damtot_orig7
114310.0,1,1143.0,16.0,Fategharh,Punjab,30.900000000000002,76.3,20.962734,5.0,5.0,10.0,5.0,5.0,10.0,1.0,0.0,0.0,0.0,21,0.0,0.0,,,,0.0,0.0,0.0,,,,5.0,5.0,10.0,,,,,,,5.0,5.0,10.0,,,
114315.0,1,1143.0,16.0,Fategharh,Punjab,30.900000000000002,76.3,21.40789,0.0,3.0,7.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,35,0.0,0.0,,,,0.0,0.0,0.0,3.0,4.0,7.0,,,,,,,,,,10.0,0.0,10.0,,,
114318.0,1,1143.0,16.0,Fategharh,Punjab,30.900000000000002,76.3,22.804056,2.0,0.0,5.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,5,0.0,0.0,,,,0.0,0.0,0.0,3.0,2.0,5.0,,,,,,,,,,0.0,5.0,5.0,,,
114320.0,1,1143.0,16.0,Fategharh,Punjab,30.900000000000002,76.3,22.864758,5.0,0.0,5.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,19,0.0,0.0,,,,0.0,0.0,0.0,,,,5.0,5.0,10.0,,,,,,,0.0,5.0,5.0,,,
114321.0,1,1143.0,16.0,Fategharh,Punjab,30.900000000000002,76.3,21.83281,0.0,2.5,3.5,2.5,0.0,3.5,1.0,0.0,0.0,0.0,28,0.0,0.0,,,,0.0,0.0,0.0,3.0,5.0,8.0,,,,2.0,0.0,2.0,5.0,0.0,5.0,,,,,,
114322.0,1,1143.0,16.0,Fategharh,Punjab,30.900000000000002,76.3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,5.0,5.0,,,
114323.0,1,1143.0,16.0,Fategharh,Punjab,30.900000000000002,76.3,24.220457,0.0,7.5,7.5,7.5,0.0,7.5,1.0,0.0,0.0,0.0,19,0.0,0.0,,,,0.0,0.0,0.0,,,,10.0,0.0,10.0,,,,12.0,0.0,12.0,,,,5.0,0.0,5.0
114327.0,1,1143.0,16.0,Fategharh,Punjab,30.900000000000002,76.3,20.254534,0.0,3.0,5.5,3.0,0.0,5.5,1.0,0.0,0.0,0.0,21,0.0,0.0,,,,0.0,0.0,0.0,,,,5.0,5.0,10.0,1.0,0.0,1.0,10.0,0.0,10.0,,,,,,
117901.0,1,1179.0,3.0,Fategharh,Punjab,30.700000000000003,76.4,17.421732,0.0,10.0,10.0,15.0,0.0,15.0,1.0,0.0,0.0,0.0,51,0.0,0.0,10.0,0.0,10.0,10.0,0.0,10.0,,,,20.0,5.0,25.0,15.0,0.0,15.0,15.0,0.0,15.0,,,,,,
117912.0,1,1179.0,3.0,Fategharh,Punjab,30.700000000000003,76.4,22.318432,0.0,7.5,7.5,7.5,0.0,7.5,1.0,0.0,0.0,0.0,9,0.0,0.0,,,,5.0,0.0,5.0,,,,10.0,5.0,15.0,3.0,0.0,3.0,10.0,0.0,10.0,,,,,,
