crop_site_id,farmer_id,village_id,block_id,district_id,state_id,latitude_final,longitude_final,latitude,longitude,timestamp
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-15 01:02:00.000
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-07 00:32:14.999
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-13 23:58:48.000
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-25 01:18:27.000
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-03 02:09:57.999
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-02 05:18:12.000
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-04-04 03:12:54.000
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-11-30 22:47:00.000
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-27 23:09:17.000
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-12 23:13:59.999
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-25 01:19:17.000
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-04 00:22:27.000
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-15 01:01:00.000
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-08 01:25:00.000
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-11-28 23:22:00.000
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,,,2017-04-05 04:28:43.904
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-03-23 03:40:43.999
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-03-07 02:36:21.000
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-03-21 03:44:55.999
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-03-07 02:37:03.000
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-16 02:16:21.000
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-04-13 08:16:26.000
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-09 02:21:23.999
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-12 23:10:59.999
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-01-04 22:51:05.000
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2016-12-17 00:46:59.999
1,105803.0,1058.0,1.0,Fategharh,Punjab,30.6,76.3,30.6,76.3,2017-02-09 02:22:25.000
